name,temp,humidity,cloudiness,wind_speed,latitude
Rosarito,79.05,52,40,8.05,4.91
Mataura,52.0,73,87,25.01,-46.19
La Ronge,5.0,65,20,8.05,55.1
Chuy,75.31,63,0,13.76,-33.69
Aripuana,83.14,71,51,2.8,-9.17
Walvis Bay,62.85,82,19,4.7,-22.95
Peniche,47.44,87,0,1.12,39.36
Dingle,72.93,95,63,10.02,11.0
Yulara,64.4,88,90,10.29,-25.24
Lebu,57.2,71,75,6.93,8.96
Berdigestyakh,-1.73,98,100,3.49,62.1
Carnarvon,66.76,29,24,10.56,-30.97
Rikitea,76.03,78,67,15.41,-23.12
Ushuaia,50.0,66,75,25.28,-54.81
Lagoa,52.47,76,0,6.93,37.14
Longyearbyen,-0.4,70,20,6.93,78.22
Klaksvik,44.6,100,100,11.41,62.23
Punta Arenas,55.2,54,75,27.51,-53.16
Franca,73.02,88,3,6.98,-20.54
Kati,69.8,22,14,5.82,12.75
Yellowknife,-13.0,75,20,6.93,62.45
Hobart,58.39,58,20,3.36,-42.88
Tadpatri,70.84,88,15,8.39,14.92
Hammerfest,28.9,62,100,18.34,70.66
Touros,82.4,69,40,14.99,-5.2
Sept-Iles,15.4,56,40,5.82,50.2
Jamestown,56.25,87,89,5.93,-33.21
Butaritari,85.28,76,100,15.26,3.07
Nanortalik,26.4,70,0,11.77,60.14
Constitucion,66.11,12,5,2.24,23.99
Sabang,79.0,73,8,7.0,13.8
Bathsheba,77.0,78,75,11.41,13.22
Nabire,71.8,96,81,1.79,-3.36
Upernavik,-29.87,88,100,11.86,72.79
Bela,67.1,82,52,5.5,26.23
Corrente,69.57,98,98,3.18,-17.45
Saldanha,38.03,75,7,0.6,41.42
Davidson,33.01,72,0,5.01,51.26
Airai,69.42,84,100,5.26,-8.93
Atuona,80.56,67,0,4.74,-9.8
Arraial do Cabo,78.8,83,75,5.82,-22.97
Georgetown,83.37,61,0,6.93,6.8
Moron,79.45,74,33,18.92,18.56
Jutai,76.71,94,62,3.71,-1.71
Saint Anthony,23.49,85,90,6.93,43.97
Ancud,57.2,62,75,14.99,-41.87
Saint-Francois,31.87,92,0,2.24,46.42
Barrow,73.53,76,100,3.74,-38.31
Vaini,66.11,79,0,6.89,15.34
Abong Mbang,71.35,36,43,2.55,3.98
Sao Filipe,70.7,67,32,16.08,14.9
Avarua,82.4,88,100,8.05,-21.21
Aksha,11.1,87,100,6.17,50.28
Horta,82.4,74,20,11.41,-10.93
Batagay-Alyta,-22.11,79,17,4.05,67.8
Praia,77.54,69,20,6.93,-20.25
Kiama,66.34,93,100,5.82,-34.67
Wagar,59.92,39,0,4.05,31.44
Vestmannaeyjar,43.03,70,100,19.98,63.44
Nieuw Amsterdam,82.71,74,20,11.41,5.88
Macapa,78.8,100,75,5.82,0.05
Yarmouth,30.65,92,90,23.04,43.84
Ribeira Grande,64.4,93,40,13.87,38.52
Port Alfred,69.01,90,50,1.01,-33.59
Eyl,78.37,84,49,12.3,7.98
Awjilah,50.79,48,0,12.62,29.14
Djenne,67.26,14,17,8.3,13.91
Los Llanos de Aridane,62.6,63,44,9.17,28.66
Shahr-e Babak,38.5,84,0,3.98,30.12
Busselton,52.95,45,0,9.35,-33.64
Margate,58.41,58,20,3.36,-43.03
East London,73.44,75,90,4.63,-33.02
Puerto Ayora,81.3,62,40,18.34,-0.74
Shenjiamen,60.03,90,33,15.99,29.96
Hinton,27.43,66,100,15.14,53.4
Hasaki,26.13,69,20,5.82,35.73
Melfort,14.0,61,1,6.93,52.87
Beloha,73.9,79,0,14.29,-25.17
Baykit,9.34,96,100,4.05,61.68
Tayoltita,78.82,22,81,4.16,24.11
Kruisfontein,65.17,83,100,5.23,-34.0
Dikson,17.56,91,95,20.65,73.51
Verkhnevilyuysk,-5.57,99,100,3.24,63.45
Kutum,55.96,26,0,6.17,14.2
Albany,29.46,55,40,20.8,42.65
Chokurdakh,-21.48,99,84,3.83,70.62
Merauke,73.53,97,100,6.78,-8.49
Aklavik,-16.6,68,90,6.93,68.22
Dubrovka,21.02,79,67,4.61,59.85
Pochutla,86.72,48,20,6.93,15.74
Kapaa,78.89,74,40,16.11,22.08
San Policarpo,79.02,85,68,18.54,12.18
Luderitz,63.55,85,0,24.99,-26.65
Bluff,74.39,77,0,10.36,-23.58
Scarborough,47.1,87,13,9.17,54.28
General Pico,67.14,93,91,10.8,-35.66
Karratha,84.25,69,100,10.11,-20.74
Severodvinsk,19.4,85,75,8.95,64.56
Zhucheng,44.6,93,90,6.71,30.85
Severo-Kurilsk,19.35,93,100,14.85,50.68
Nantucket,35.67,55,40,13.87,41.28
Hami,18.34,48,73,4.38,42.84
Vostok,-5.44,98,90,3.24,46.45
Muros,41.32,100,1,3.36,42.77
Celendin,60.8,63,90,5.82,-6.87
Vanimo,81.59,84,100,23.76,-2.67
Tshela,72.66,92,89,0.96,-4.99
New Norfolk,57.92,58,20,3.36,-42.78
Clyde River,-38.2,58,1,5.82,70.47
Ostrovnoy,14.47,92,68,20.92,68.05
Turayf,42.8,75,0,6.93,31.68
Cape Town,65.19,82,75,3.36,-33.93
Coihaique,56.41,62,75,8.05,-45.58
Hongjiang,56.25,86,79,2.84,27.21
Port Lincoln,61.3,76,78,10.56,-34.72
